No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	217	60	W	0	0	0	m	0	0	0	
2	226	60	N	0	0	0		0	0	0	
3	245	38	N	0	0	0		0	0	0	
4	224	16	W	0	0	0		0	0	0	
5	221	22	W	0	0	0		0	0	0	
6	218	52	W	0	0	0		0	0	0	
7	50	80	S	0	0	0		0	0	0	
8	38	85	E	0	0	0		0	0	0	
9	212	54	W	0	0	0		0	0	0	
10	237	75	N	0	0	0		0	0	0	
11	191	46	W	0	0	0		0	0	0	
12	220	35	W	0	0	0		0	0	0	
13	242	11	N	0	0	0		0	0	0	
14	320	3	E	0	0	0		0	0	0	
15	232	16	N	0	0	0		0	0	0	
16	300	6	N	0	0	0		0	0	0	
17	65	52	S	0	0	0		0	0	0	
18	253	8	N	0	0	0		0	0	0	
19	240	24	N	0	0	0		0	0	0	
20	215	19	W	0	0	0		0	0	0	
21	60	26	S	0	0	0		0	0	0	
22	39	42	E	0	0	0		0	0	0	
23	10	32	E	0	0	0		0	0	0	
24	160	32	W	0	0	0		0	0	0	
25	245	20	N	0	0	0		0	0	0	
26	75	41	S	0	0	0		0	0	0	
27	35	45	E	0	0	0		0	0	0	
28	160	25	W	0	0	0		0	0	0	
29	210	25	W	0	0	0		0	0	0	
30	245	20	N	0	0	0		0	0	0	
31	98	20	S	0	0	0		0	0	0	
32	224	36	W	0	0	0		0	0	0	
33	38	40	E	0	0	0		0	0	0	
