No.	Strike	Dip	Dip Quad	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes
1	57	69	S	0	0	0	m	0	0	0	
2	56	74	S	0	0	0		0	0	0	
3	50	75	S	0	0	0		0	0	0	
4	40	80	E	0	0	0		0	0	0	
5	55	85	S	0	0	0		0	0	0	
6	45	86	E	0	0	0		0	0	0	
7	55	78	S	0	0	0		0	0	0	
8	50	82	S	0	0	0		0	0	0	
9	45	81	E	0	0	0		0	0	0	
10	60	76	S	0	0	0		0	0	0	
11	55	84	S	0	0	0		0	0	0	
12	56	72	S	0	0	0		0	0	0	
13	35	79	E	0	0	0		0	0	0	
14	30	75	E	0	0	0		0	0	0	
15	40	76	E	0	0	0		0	0	0	
16	32	64	E	0	0	0		0	0	0	
17	55	68	S	0	0	0		0	0	0	
18	46	56	S	0	0	0		0	0	0	
19	38	88	E	0	0	0		0	0	0	
20	30	76	E	0	0	0		0	0	0	
21	40	66	E	0	0	0		0	0	0	
22	213	83	W	0	0	0		0	0	0	
23	36	82	E	0	0	0		0	0	0	
24	210	86	W	0	0	0		0	0	0	
25	215	79	W	0	0	0		0	0	0	
26	30	88	E	0	0	0		0	0	0	
27	45	57	E	0	0	0		0	0	0	
28	55	85	S	0	0	0		0	0	0	
29	42	78	E	0	0	0		0	0	0	
30	30	88	E	0	0	0		0	0	0	
31	235	80	N	0	0	0		0	0	0	
32	220	84	W	0	0	0		0	0	0	
33	50	86	S	0	0	0		0	0	0	
